,datetime,solar_power,building_load,BESS_output
0,20220531-000000,0.0,26.920134758312848,2.16768619372067
1,20220531-001500,-0.0002914480022446689,26.402159831722784,1.8015874885712682
2,20220531-003000,-0.00010905116983240223,22.853849485944135,0.0042263565698324
3,20220531-004500,0.0,24.502674701756153,0.31171777539149886
4,20220531-010000,-0.000621984413483146,26.726524076337082,1.8844058730876407
5,20220531-011500,-0.00046855023745819404,24.159079000925303,0.2594001704124861
6,20220531-013000,-0.0001729084786516854,24.021673379325843,0.40611751218651687
7,20220531-014500,-0.0002569027779017857,25.329090072578122,0.7376682186685269
8,20220531-020000,-0.0006075484696629214,24.80192731295506,0.15278241616741572
9,20220531-021500,-0.00047841192849162016,24.59535996129609,0.5920691582949721
10,20220531-023000,-0.00044561327901785714,23.821650881964285,0.31729164092187506
11,20220531-024500,-0.00014737072879464285,25.049020866506698,0.5117051892555804
12,20220531-030000,-0.00041087312541993276,23.570534222060473,0.24595721268756998
13,20220531-031500,-0.0002036451004464286,24.54900913642857,0.4462561491361608
14,20220531-033000,-8.163371860986547e-05,22.803272893778026,0.12571115313901346
15,20220531-034500,-0.0004225348154362416,24.14011592147651,0.21435018196085012
16,20220531-040000,-0.00011259270077864293,23.52598955756396,0.26598230802002226
17,20220531-041500,-0.0007697124330357143,25.441960164375,0.9029167111629464
18,20220531-043000,-0.0006951368584169453,23.01680951929766,0.000494938319955409
19,20220531-044500,0.0,24.549197459894383,0.1593734480898876
20,20220531-050000,-0.00022249017561521252,25.37298798422819,0.7468467065425056
21,20220531-051500,-0.0007384203348314606,26.799007648471914,2.072952083492135
22,20220531-053000,-0.0002611109508379888,24.376350358022346,0.15734608009162007
23,20220531-054500,0.1023043744972067,27.912167409273742,2.8216034708324025
24,20220531-060000,1.001078504403803,31.09859984191275,5.097521337508948
25,20220531-061500,2.404893144541806,28.925345903177256,1.5529459478216274
26,20220531-063000,4.421822829866592,29.590913358172646,0.1724188523195068
27,20220531-064500,6.788024035595745,28.52478151020157,-3.154377715170213
28,20220531-070000,11.059415269050449,28.82678004367713,-7.196201266449552
29,20220531-071500,17.081829073191965,29.591216459732145,-12.438899072611605
30,20220531-073000,32.06800093026846,27.277697519865775,-29.77167148410523
31,20220531-074500,35.286620107488844,32.40088868766741,-27.87526594295778
32,20220531-080000,40.14756995368186,33.712654850322586,-31.43491510335955
33,20220531-081500,45.25104307845465,34.57159142640538,-35.67945165204968
34,20220531-083000,50.12705555015643,36.342293331016755,-38.78476221914013
35,20220531-084500,54.3257572259305,36.66864124330718,-42.6571159826238
36,20220531-090000,58.41022367526906,42.048874239921524,-41.36134943534807
37,20220531-091500,62.83775909579889,39.448433445452515,-48.38225940300611
38,20220531-093000,66.70044919081747,45.02730331218365,-46.673145878634344
39,20220531-094500,69.9352477513951,44.032243036875,-50.86262251817014
40,20220531-100000,72.75999375578002,49.97601667579125,-47.783977079989306
41,20220531-101500,75.95396402860335,46.04754508898324,-54.80146046624627
42,20220531-103000,78.99734239902027,49.71378153295044,-53.67609966857017
43,20220531-104500,80.45094093321387,49.631762560907056,-31.68268965447952
44,20220531-110000,83.257184676875,53.42478323541295,0.0
45,20220531-111500,84.66523146998881,48.2856896975364,0.0
46,20220531-113000,85.79366102952702,53.24684086489865,0.0
47,20220531-114500,86.96385037989933,58.66081366215883,0.0
48,20220531-120000,87.57740508061246,60.76736595978842,0.0
49,20220531-121500,87.76633834316964,60.76259360219866,0.0
50,20220531-123000,88.01612623879464,58.35185651498883,0.0
51,20220531-124500,88.20355127162556,63.00041886931615,0.0
52,20220531-130000,88.1424862676431,56.0736314308642,0.0
53,20220531-131500,87.10549846393974,55.633671937633935,0.0
54,20220531-133000,86.8659476393834,55.392549911098655,0.0
55,20220531-134500,85.78864267121212,58.223427370897866,0.0
56,20220531-140000,84.255829870481,55.4043451983557,0.0
57,20220531-141500,81.89192962810056,57.447173950290505,0.0
58,20220531-143000,79.83840952774412,59.83087394826038,0.0
59,20220531-144500,77.53413832943144,58.04123472889632,0.0
60,20220531-150000,74.5215471823397,56.83454509745782,0.0
61,20220531-151500,71.31968226468229,61.384694618862866,0.0
62,20220531-153000,68.46325622994432,58.70102624730513,0.0
63,20220531-154500,64.80569383535274,58.959406413023515,0.0
64,20220531-160000,60.609998014490486,57.796108258801794,0.3191489361702128
65,20220531-161500,56.35274662141583,61.571473271560755,0.0
66,20220531-163000,51.693729162825115,62.3253798964574,0.021555303105380574
67,20220531-164500,47.05246565429371,60.26005211089686,0.0
68,20220531-170000,41.79401780840223,57.75008805207822,0.03388610022344962
69,20220531-171500,36.19643969795302,56.836826235581654,0.07831362218113043
70,20220531-173000,30.274145663366888,57.68201077890381,2.407865115536387
71,20220531-174500,24.458207686415733,58.60159738598876,9.143389699572507
72,20220531-180000,18.468665075134524,53.56635810839686,10.10836931921472
73,20220531-181500,12.934196767402232,53.46300171517319,15.528804947770423
74,20220531-183000,8.027703724631403,54.40662467688196,21.37892095225003
75,20220531-184500,4.629518060369663,48.25526495799999,18.625746897629814
76,20220531-190000,2.7073557697800226,43.37007201794613,15.662716248165578
77,20220531-191500,1.4309096435955304,41.225323634692735,14.79441399109668
78,20220531-193000,0.481825266824581,41.639666013407826,16.157840746582714
79,20220531-194500,-0.04399457785968819,38.06228958967706,13.106284167536224
80,20220531-200000,-0.0010824002480446927,36.30614424293855,11.307226643186066
81,20220531-201500,-0.00041753165397536394,37.177802356875695,12.17821988852915
82,20220531-203000,-0.0006367744120940649,37.80795485091826,12.808591625329822
83,20220531-204500,-0.0007354516275167785,36.05100368725951,11.051739138886497
84,20220531-210000,-0.0004110999932885906,35.19184697863535,10.207598387386499
85,20220531-211500,-0.00014412417318435754,34.56944303779888,9.569587161971542
86,20220531-213000,-0.0002609325870535714,35.8368049536384,10.837065886224922
87,20220531-214500,-0.0013197383370660693,34.19027222690929,9.191591965245834
88,20220531-220000,-0.0002652776875,36.84545239166295,11.845717669349922
89,20220531-221500,-0.00028400717581187013,35.51207435287794,10.512358360053225
90,20220531-223000,-0.0011246778849162012,34.65240043703911,9.667812674387184
91,20220531-224500,-0.003192636830357143,31.914438739933036,6.917631376762868
92,20220531-230000,-0.0012968442874720359,34.02958723651007,9.030884080797014
93,20220531-231500,-0.001375041326233184,32.13393971247758,7.135314753803287
94,20220531-233000,-0.0025575880498533723,32.20017834407625,7.202735932125575
95,20220531-234500,0.0,22.42231548065,2.8975868302497636
96,20220601-000000,-0.002385178181818182,32.50662391937149,7.513476900179048
97,20220601-001500,-0.0006599331383928571,31.82673547026786,6.827395403405724
98,20220601-003000,-0.0006920349238521837,29.354956574132142,4.355648609055466
99,20220601-004500,-0.0009341745597765363,30.65965020972067,5.660584384279922
100,20220601-010000,-0.0026609432595078295,31.424951235536913,6.427612178795894
101,20220601-011500,-0.001964602203125,29.27247721137277,4.274441813575367
102,20220601-013000,-0.0029555503853932585,28.48268396002247,3.49822386396916
103,20220601-014500,-0.005751015024581005,26.871740320659217,2.200775259757167
104,20220601-020000,-0.002410868129753915,25.671278994597316,1.2567179836931948
105,20220601-021500,-0.005278059654362416,28.252638483590605,3.258453609329456
106,20220601-023000,-0.004559776708379888,24.999383106469274,0.8412698068958608
107,20220601-024500,-0.0033474169408482138,26.529327653348215,1.8714153079705897
108,20220601-030000,-0.007746582088565023,26.555697145381163,1.6398300378392188
109,20220601-031500,-0.0039691983650615905,27.04819140324748,2.2577173253556944
110,20220601-033000,-0.008096712939461884,24.901782165515694,0.6974450565569315
111,20220601-034500,-0.005669486795758928,25.116574571908483,0.8105483130800832
112,20220601-040000,-0.008061756460246362,23.844140740526313,0.09613230950834449
113,20220601-041500,-0.01744712447932961,26.6183200866257,1.843240932643166
114,20220601-043000,-0.018286684170022376,23.304309078232667,0.01625646321473922
115,20220601-044500,-0.011516076877802692,24.876295663452915,0.6596139563775545
116,20220601-050000,-0.011819925729910714,26.265854163035716,1.473444743937081
117,20220601-051500,-0.00823773147362514,25.152473117867565,1.253589158161368
118,20220601-053000,-0.003946349202460849,25.17297943598434,0.7899922427614404
119,20220601-054500,0.025588757570786515,26.945915375471913,2.8921211034210343
120,20220601-060000,0.5776400199171333,29.675822003611426,4.116140773766551
121,20220601-061500,1.7577094345566777,32.326551146565656,5.568841712008453
122,20220601-063000,3.3699674414425864,31.178560357224082,2.808592915780969
123,20220601-064500,5.016413663910615,31.836103533273743,1.8196898693626027
124,20220601-070000,6.9379643846367705,32.82401252730942,0.8860481426721196
125,20220601-071500,9.381002944144766,30.65756649626949,-3.7234364478758044
126,20220601-073000,12.635479410338185,32.580400892788354,-5.055078517550358
127,20220601-074500,15.448505964720981,34.34957295277901,-6.09893301194249
128,20220601-080000,16.651131576491032,35.00057713024663,-6.650554446244921
129,20220601-081500,21.192307913285077,33.9313750255902,-12.260932887695406
130,20220601-083000,32.650411047580825,33.318214271538466,-24.332196776042892
131,20220601-084500,51.504263265615215,39.01272957667785,-37.49153368893791
132,20220601-090000,57.919311077796415,42.39845632972036,-40.52085474807664
133,20220601-091500,61.860142815964124,39.99216625124439,-46.867976564720294
134,20220601-093000,65.42603036358513,44.43092608358511,-45.995104280000575
135,20220601-094500,68.97343314654404,49.02134614102564,-44.95208700551896
136,20220601-100000,72.1240480486435,48.24680775623319,-48.87724029241088
137,20220601-101500,74.43750753738547,46.87637610507263,-51.65107422702833
138,20220601-103000,77.4655748337178,52.281159565296754,-36.88615206769357
139,20220601-104500,80.14801063288591,50.73422430895973,0.0
140,20220601-110000,82.23156575661055,52.17412879781144,0.0
141,20220601-111500,84.04872073140608,53.364868497064116,0.0
142,20220601-113000,85.14164835724023,50.97586538311731,0.0
143,20220601-114500,86.43776888835755,50.988330475765366,0.0
144,20220601-120000,87.14416624802013,50.90621485865771,0.0
145,20220601-121500,87.47433834782608,51.00228505169454,0.0
146,20220601-123000,87.65552840562499,46.52305253796875,0.0
147,20220601-124500,87.78535149202236,51.59591262755307,0.0
148,20220601-130000,87.3311989962416,51.65589378387025,0.0
149,20220601-131500,86.55168387192825,49.82335105197309,0.0
150,20220601-133000,85.93137890332586,46.64376733211646,0.0
151,20220601-134500,84.65063084971015,55.84223213976588,0.0
152,20220601-140000,82.92644706071428,52.940627829899555,0.0
153,20220601-141500,81.04524688686449,51.989854974871214,0.0
154,20220601-143000,78.88936725379774,51.032939108550565,0.0
