,datetime,solar_load,building_load,BESS_output
0,20220531-000000,0.0,26.920134758256665,0.0
1,20220531-001500,-0.0002914480012700411,26.402159831986815,0.0
2,20220531-003000,-0.00010905117021259643,22.853849486018028,0.0
3,20220531-004500,0.0,24.50267470169387,0.0
4,20220531-010000,-0.000621984411993723,26.726524076408214,0.0
5,20220531-011500,-0.0004685502370597256,24.15907900073988,0.0
6,20220531-013000,-0.00017290847842696674,24.021673379257823,0.0
7,20220531-014500,-0.00025690277809709553,25.32909007263237,0.0
8,20220531-020000,-0.0006075484685683512,24.801927312992934,0.0
9,20220531-021500,-0.0004784119278608751,24.595359961229995,0.0
10,20220531-023000,-0.0004456132790489519,23.82165088196152,0.0
11,20220531-024500,-0.0001473707288304077,25.049020866450984,0.0
12,20220531-030000,-0.00041087312496622863,23.570534222011204,0.0
13,20220531-031500,-0.00020364510103328392,24.549009136522987,0.0
14,20220531-033000,-8.163371845879348e-05,22.803272893840422,0.0
15,20220531-034500,-0.00042253481557538546,24.140115921462677,0.0
16,20220531-040000,-0.00011259270083983827,23.52598955768897,0.0
17,20220531-041500,-0.0007697124332272706,25.44196016432451,0.0
18,20220531-043000,-0.0006951368594315798,23.016809519371193,0.0
19,20220531-044500,0.0,24.549197459965608,0.0
20,20220531-050000,-0.00022249017485836197,25.372987984224185,0.0
21,20220531-051500,-0.000738420335764295,26.799007648553744,0.0
22,20220531-053000,-0.00026111095003242583,24.37635035807061,0.0
23,20220531-054500,0.10230437448359792,27.91216740943333,0.0
24,20220531-060000,1.0010785044070898,31.098599841928053,0.0
25,20220531-061500,2.40489314453043,28.925345903115396,0.0
26,20220531-063000,4.421822829866623,29.59091335831736,0.0
27,20220531-064500,6.788024035599437,28.524781510183818,0.0
28,20220531-070000,11.059415269062391,28.826780043615887,0.0
29,20220531-071500,17.081829073200268,29.591216459747933,0.0
30,20220531-073000,32.068000930230355,27.277697519877346,0.0
31,20220531-074500,35.286620107458106,32.40088868755049,0.0
32,20220531-080000,40.14756995360763,33.712654850326466,0.0
33,20220531-081500,45.251043078581674,34.571591426479856,0.0
34,20220531-083000,50.12705554996256,36.34229333109829,0.0
35,20220531-084500,54.325757225832064,36.668641243216165,0.0
36,20220531-090000,58.41022367525529,42.04887423990019,0.0
37,20220531-091500,62.837759095762024,39.4484334454936,0.0
38,20220531-093000,66.70044919094073,45.0273033122493,0.0
39,20220531-094500,69.93524775134667,44.03224303676081,0.0
40,20220531-100000,72.75999375589501,49.976016675732886,0.0
41,20220531-101500,75.95396402858756,46.047545088970466,0.0
42,20220531-103000,78.9973423988325,49.71378153290298,0.0
43,20220531-104500,80.45094093322753,49.631762560810245,0.0
44,20220531-110000,83.25718467688986,53.424783235623366,0.0
45,20220531-111500,84.66523147015928,48.28568969751659,0.0
46,20220531-113000,85.79366102956436,53.24684086498376,0.0
47,20220531-114500,86.96385038000358,58.66081366228577,0.0
48,20220531-120000,87.5774050804873,60.7673659597845,0.0
49,20220531-121500,87.76633834309875,60.76259360232523,0.0
50,20220531-123000,88.01612623869309,58.351856515045675,0.0
51,20220531-124500,88.20355127143218,63.00041886931577,0.0
52,20220531-130000,88.14248626765713,56.0736314307854,0.0
53,20220531-131500,87.105498464033,55.63367193761149,0.0
54,20220531-133000,86.86594763937552,55.392549911283055,0.0
55,20220531-134500,85.7886426712447,58.223427371058264,0.0
56,20220531-140000,84.25582987049282,55.40434519828566,0.0
57,20220531-141500,81.89192962819104,57.44717395026458,0.0
58,20220531-143000,79.83840952771547,59.830873948342344,0.0
59,20220531-144500,77.53413832952613,58.04123472911724,0.0
60,20220531-150000,74.5215471822419,56.834545097383256,0.0
61,20220531-151500,71.31968226467885,61.38469461882261,0.0
62,20220531-153000,68.4632562299295,58.701026247381364,0.0
63,20220531-154500,64.80569383530441,58.95940641299074,0.0
64,20220531-160000,60.60999801448852,57.79610825880911,0.0
65,20220531-161500,56.3527466214753,61.5714732716368,0.0
66,20220531-163000,51.69372916265988,62.32537989661298,0.0
67,20220531-164500,47.05246565438173,60.26005211091897,0.0
68,20220531-170000,41.79401780831214,57.75008805207833,0.0
69,20220531-171500,36.196439698019816,56.83682623574131,0.0
70,20220531-173000,30.27414566334995,57.682010778911426,0.0
71,20220531-174500,24.45820768661445,58.60159738604943,0.0
72,20220531-180000,18.46866507494129,53.56635810831737,0.0
73,20220531-181500,12.93419676747402,53.46300171515929,0.0
74,20220531-183000,8.027703724646223,54.40662467693167,0.0
75,20220531-184500,4.629518060366425,48.25526495801733,0.0
76,20220531-190000,2.707355769767972,43.37007201802182,0.0
77,20220531-191500,1.430909643591894,41.225323634483296,0.0
78,20220531-193000,0.4818252668265286,41.63966601350454,0.0
79,20220531-194500,-0.043994577862668756,38.062289589725786,0.0
